Year,Month,Day,Hour,Wind Speed
2000,1,8,17,2.828054905
2000,1,8,18,2.858428717
2000,1,8,19,2.862495422
2000,1,8,20,3.01207757
2000,1,8,21,3.171379805
2000,1,8,22,3.227609396
2000,1,8,23,3.207073689
2000,1,9,0,3.139094591
2000,1,9,1,3.062001467
2000,1,9,2,2.979975224
2000,1,9,3,2.932406425
2000,1,9,4,2.941772938
2000,1,9,5,2.964020491
2000,1,9,6,2.901561499
2000,1,9,7,2.635842562
2000,1,9,8,2.694966078
2000,1,9,9,2.76140213
2000,1,9,10,2.715296984
2000,1,9,11,2.566971064
2000,1,9,12,2.416828871
2000,1,9,13,2.304054976
2000,1,9,14,2.314957857
2000,1,9,15,2.416561604
2000,1,9,16,2.500255585
2000,1,9,17,2.728788137
2000,1,9,18,2.968877316
2000,1,9,19,3.111989975
2000,1,9,20,3.113604784
2000,1,9,21,3.084929943
2000,1,9,22,3.037703753
2000,1,9,23,2.940156698
2000,1,10,0,2.785270214
2000,1,10,1,2.616767645
2000,1,10,2,2.664196014
2000,1,10,3,2.722769737
2000,1,10,4,2.622971296
2000,1,10,5,2.422528505
2000,1,10,6,2.225556374
2000,1,10,7,2.110334396
2000,1,10,8,2.145837545
2000,1,10,9,2.513721228
2000,1,10,10,2.683748007
2000,1,10,11,2.593182087
2000,1,10,12,2.501006365
2000,1,10,13,2.475533962
2000,1,10,14,2.568857908
2000,1,10,15,2.723750591
2000,1,10,16,2.737122297
2000,1,10,17,2.831423283
2000,1,10,18,3.005225897
2000,1,10,19,3.060884476
2000,1,10,20,3.090199709
2000,1,10,21,3.063624382
2000,1,10,22,2.950973511
2000,1,10,23,2.765134335
2000,1,11,0,2.537777424
2000,1,11,1,2.303713322
2000,1,11,2,2.066888571
2000,1,11,3,1.795434117
2000,1,11,4,1.671407461
2000,1,11,5,1.674462438
2000,1,11,6,1.743092656
2000,1,11,7,1.869299769
2000,1,11,8,2.114500999
2000,1,11,9,2.163469076
2000,1,11,10,2.168817282
2000,1,11,11,2.243627787
2000,1,11,12,2.463117123
2000,1,11,13,2.762843847
2000,1,11,14,2.901299477
2000,1,11,15,2.856557131
2000,1,11,16,2.779102564
2000,1,11,17,2.851183414
2000,1,11,18,3.07313776
2000,1,11,19,3.212962627
2000,1,11,20,3.249275923
2000,1,11,21,3.226324081
2000,1,11,22,3.152585506
2000,1,11,23,3.033097744
2000,1,12,0,2.857136726
2000,1,12,1,2.606637001
2000,1,12,2,2.509116411
2000,1,12,3,2.444796085
2000,1,12,4,2.342027664
2000,1,12,5,2.366017342
2000,1,12,6,2.429929256
2000,1,12,7,2.59727788
2000,1,12,8,2.436216593
2000,1,12,9,2.089028835
2000,1,12,10,1.764304399
2000,1,12,11,1.614695549
2000,1,12,12,1.651815176
2000,1,12,13,1.793842196
2000,1,12,14,2.003390074
2000,1,12,15,2.14235878
2000,1,12,16,2.271657228
2000,1,12,17,2.554014921
2000,1,12,18,2.824464798
2000,1,12,19,2.940621853
2000,1,12,20,2.851115942
2000,1,12,21,2.717120886
2000,1,12,22,2.563250065
2000,1,12,23,2.394160986
2000,1,13,0,2.216057539
2000,1,13,1,2.017269611
2000,1,13,2,1.910106301
2000,1,13,3,1.873491883
2000,1,13,4,1.879137635
2000,1,13,5,1.964719534
2000,1,13,6,2.080733538
2000,1,13,7,2.032415867
2000,1,13,8,1.913890123
2000,1,13,9,1.591128707
2000,1,13,10,1.427389264
2000,1,13,11,1.419512153
2000,1,13,12,1.444865823
2000,1,13,13,1.476625681
2000,1,13,14,1.564114809
2000,1,13,15,1.657011271
2000,1,13,16,1.739228487
2000,1,13,17,1.904611111
2000,1,13,18,2.109790325
2000,1,13,19,2.283232212
2000,1,13,20,2.557976723
2000,1,13,21,2.779266357
2000,1,13,22,2.874483347
2000,1,13,23,2.853517532
2000,1,14,0,2.775518894
2000,1,14,1,2.674696922
2000,1,14,2,2.483131647
2000,1,14,3,2.294318199
2000,1,14,4,2.179706097
2000,1,14,5,2.111121178
2000,1,14,6,2.087885618
2000,1,14,7,1.787998915
2000,1,14,8,1.686261654
2000,1,14,9,1.472455502
2000,1,14,10,1.3754071
2000,1,14,11,1.414567113
2000,1,14,12,1.456098795
2000,1,14,13,1.486413121
2000,1,14,14,1.419784307
2000,1,14,15,1.206070781
2000,1,14,16,1.053048134
2000,1,14,17,1.163263202
2000,1,14,18,1.390829086
2000,1,14,19,1.539181828
2000,1,14,20,1.564367056
2000,1,14,21,1.468992949
2000,1,14,22,1.305620074
2000,1,14,23,1.236398578
2000,1,15,0,1.301042914
2000,1,15,1,1.384474277
2000,1,15,2,1.415933609
2000,1,15,3,1.450713992
2000,1,15,4,1.514774323
2000,1,15,5,1.561666369
2000,1,15,6,1.567454934
2000,1,15,7,1.34439528
2000,1,15,8,0.9457985759
2000,1,15,9,0.6321380734
2000,1,15,10,0.3549346626
2000,1,15,11,0.3197368979
2000,1,15,12,0.4356423616
2000,1,15,13,0.6914194822
2000,1,15,14,0.865091145
2000,1,15,15,0.9448903203
2000,1,15,16,0.9219976068
2000,1,15,17,0.7789922357
2000,1,15,18,0.6806858182
2000,1,15,19,0.4799409211
2000,1,15,20,0.3676331341
2000,1,15,21,0.3504680395
2000,1,15,22,0.3558834791
2000,1,15,23,0.4173272848
2000,1,16,0,0.5752363205
2000,1,16,1,0.8125144243
2000,1,16,2,1.069146872
2000,1,16,3,1.372419238
2000,1,16,4,1.670824647
2000,1,16,5,1.837088346
2000,1,16,6,1.894109368
2000,1,16,7,1.635437965
2000,1,16,8,1.54534781
2000,1,16,9,1.583812118
2000,1,16,10,1.877568722
2000,1,16,11,2.221835852
2000,1,16,12,2.534043074
2000,1,16,13,2.780617476
2000,1,16,14,3.002159834
2000,1,16,15,3.159587145
2000,1,16,16,3.155592203
2000,1,16,17,3.368244171
2000,1,16,18,3.684690714
2000,1,16,19,3.844492435
2000,1,16,20,3.841054201
2000,1,16,21,3.726395607
2000,1,16,22,3.557513475
2000,1,16,23,3.371440649
2000,1,17,0,3.115110159
2000,1,17,1,2.780745029
2000,1,17,2,2.507313251
2000,1,17,3,2.270079851
2000,1,17,4,2.110710382
2000,1,17,5,2.058073759
2000,1,17,6,2.008235216
2000,1,17,7,1.843629599
2000,1,17,8,1.958176255
2000,1,17,9,2.280117273
2000,1,17,10,2.630412102
2000,1,17,11,3.027512074
2000,1,17,12,3.310521841
2000,1,17,13,3.499082327
2000,1,17,14,3.601617098
2000,1,17,15,3.605895758
2000,1,17,16,3.384821653
2000,1,17,17,3.362971783
2000,1,17,18,3.455477953
2000,1,17,19,3.441963911
2000,1,17,20,3.361999035
2000,1,17,21,3.270509243
2000,1,17,22,3.169486761
2000,1,17,23,3.065678358
2000,1,18,0,2.9445889
2000,1,18,1,2.810349703
2000,1,18,2,2.791290998
2000,1,18,3,2.792886019
2000,1,18,4,2.769240379
2000,1,18,5,2.767364502
2000,1,18,6,2.819356441
2000,1,18,7,2.583673239
2000,1,18,8,2.333175659
2000,1,18,9,2.762633562
2000,1,18,10,3.173722029
2000,1,18,11,3.403957129
2000,1,18,12,3.493417025
2000,1,18,13,3.46501708
2000,1,18,14,3.475088596
2000,1,18,15,3.479349136
2000,1,18,16,3.260841846
2000,1,18,17,3.224838495
2000,1,18,18,3.31790328
2000,1,18,19,3.350642204
2000,1,18,20,3.281707525
2000,1,18,21,3.118252039
2000,1,18,22,2.901763916
2000,1,18,23,2.621122837
2000,1,19,0,2.297515869
2000,1,19,1,1.966804266
2000,1,19,2,1.671778083
2000,1,19,3,1.490152836
2000,1,19,4,1.407006502
2000,1,19,5,1.385326982
2000,1,19,6,1.399198413
2000,1,19,7,1.322177887
2000,1,19,8,1.724146724
2000,1,19,9,2.483144522
2000,1,19,10,2.609050751
2000,1,19,11,2.581542015
2000,1,19,12,2.511597395
2000,1,19,13,2.535255671
2000,1,19,14,2.6636374
2000,1,19,15,2.810149193
2000,1,19,16,2.755725861
2000,1,19,17,2.659945965
2000,1,19,18,2.583451509
2000,1,19,19,2.471567631
2000,1,19,20,2.322232962
2000,1,19,21,2.216218233
2000,1,19,22,2.143544197
2000,1,19,23,2.082028389
2000,1,20,0,1.991823316
2000,1,20,1,1.869401693
2000,1,20,2,1.698011875
2000,1,20,3,1.502051592
2000,1,20,4,1.323231697
2000,1,20,5,1.185964465
2000,1,20,6,1.178439617
2000,1,20,7,1.184861302
2000,1,20,8,1.193291664
2000,1,20,9,1.98221004
2000,1,20,10,2.189626694
2000,1,20,11,2.138848782
2000,1,20,12,2.016233444
2000,1,20,13,1.900866747
2000,1,20,14,1.902389526
2000,1,20,15,1.954867125
2000,1,20,16,1.899912238
2000,1,20,17,1.876402855
2000,1,20,18,1.99472785
2000,1,20,19,2.243273735
2000,1,20,20,2.413343906
2000,1,20,21,2.517992973
2000,1,20,22,2.607664108
2000,1,20,23,2.68213129
2000,1,21,0,2.703775167
2000,1,21,1,2.689729691
2000,1,21,2,2.609461069
2000,1,21,3,2.495577335
2000,1,21,4,2.334965229
2000,1,21,5,2.115025997
2000,1,21,6,1.868945718
2000,1,21,7,1.517859697
2000,1,21,8,1.180888057
2000,1,21,9,0.6633424759
2000,1,21,10,0.9916880131
2000,1,21,11,1.175049663
2000,1,21,12,1.251956224
2000,1,21,13,1.275239825
2000,1,21,14,1.473582864
2000,1,21,15,1.753348708
2000,1,21,16,1.986399174
2000,1,21,17,2.163273811
2000,1,21,18,2.343492985
2000,1,21,19,2.558971167
2000,1,21,20,2.701534271
2000,1,21,21,2.824316502
2000,1,21,22,2.888590574
2000,1,21,23,2.890475988
2000,1,22,0,2.863370419
2000,1,22,1,2.830254793
2000,1,22,2,2.822223663
2000,1,22,3,2.866415262
2000,1,22,4,2.938205957
2000,1,22,5,2.997476578
2000,1,22,6,3.039347172
2000,1,22,7,2.741685152
2000,1,22,8,2.13564086
2000,1,22,9,1.693995118
2000,1,22,10,1.349730492
2000,1,22,11,1.191738009
2000,1,22,12,1.118594527
2000,1,22,13,1.085725069
2000,1,22,14,1.068850756
2000,1,22,15,1.111815572
2000,1,22,16,1.198065758
2000,1,22,17,1.322223186
2000,1,22,18,1.505094171
2000,1,22,19,1.661091328
2000,1,22,20,1.961599946
2000,1,22,21,2.249286652
2000,1,22,22,2.46540761
2000,1,22,23,2.660118341
2000,1,23,0,2.810465097
2000,1,23,1,2.910148621
2000,1,23,2,3.002341747
2000,1,23,3,3.054882288
2000,1,23,4,3.048540831
2000,1,23,5,2.993311405
2000,1,23,6,2.926242352
2000,1,23,7,2.548767328
2000,1,23,8,1.935339093
2000,1,23,9,1.232312799
2000,1,23,10,0.7397604585
2000,1,23,11,0.8957394361
2000,1,23,12,1.134978771
2000,1,23,13,1.356051087
2000,1,23,14,1.514735699
2000,1,23,15,1.674578309
2000,1,23,16,1.819016695
2000,1,23,17,1.880317569
2000,1,23,18,1.775978565
2000,1,23,19,1.541112661
